"","items","prices","soldwhen"
"165","REGGIE JACKSON 2016 BOWMAN DRAFT CHROME DRAFT HISTORY + 2007 TTT #0263/1350","$0.99","Jan-29 20:05"
"166","2016 Bowman Chrome Rockies Sam Howard Refractor Auto High Tek Gray Auto LOT OF 6","$3.25","Jan-29 20:05"
"167","BGS 9.5/10 WILLSON CONTRERAS 2016 Bowman Chrome REFRACTOR AUTO RC #/499","$175.00","Jan-29 20:05"
"168","2016 Alec Hansen Bowman Chrome PROSPECT AUTO Autograph Chicago White Sox","$5.00","Jan-29 20:05"
"169","KYLE MULLER 2016 Bowman Chrome Auto # 117/150","$31.00","Jan-29 20:03"
"170","KYLE LEWIS 2016 BOWMAN CHROME DRAFT AUTO","$69.99","Jan-29 20:03"
"171","Julio Urias Auto RC Green Refractor 2016 Bowman's Best Chrome SP Parallel 11/99","$36.55","Jan-29 20:00"
"172","2016 Bowman Draft Paper/Chrome Team Set Lot Chicago Cubs","$1.99","Jan-29 20:00"
"173","2016 Bowman Draft Paper/Chrome Team Set Lot Mickey Moniak Kevin Gowdy Phillies","$4.99","Jan-29 20:00"
"174","2016 Bowman Draft Paper/Chrome 3 Card Lot Atlanta Braves Joey Wentz","$1.19","Jan-29 20:00"
"175","2016 Bowman Draft Paper/Chrome 3 card Lot Atlanta Braves Brett Cumberland","$1.19","Jan-29 20:00"
"176","2016 Bowman Draft Paper/Chrome 3 Card Lot Minnesota Twins Alex Kirilloff","$1.99","Jan-29 20:00"
"177","2016 Bowman Draft Paper/Chrome Team Set Lot Los Angeles Dodgers","$3.99","Jan-29 20:00"
"178","2016 Bowman Draft Paper/Chrome 3 Card Lot Boston Red Sox C.J. Chatham","$1.19","Jan-29 20:00"
"179","2016 Bowman Draft Paper/Chrome 3 Card Lot Detroit Tigers Matt Manning","$1.69","Jan-29 20:00"
"180","2016 Bowman Draft Paper/Chrome Team Set Lot New York Mets","$3.99","Jan-29 20:00"
"181","Pete Alonso 2016 Bowman Chrome Draft Rookie RC On Card Auto Autograph Mets","$8.50","Jan-29 20:00"
"182","(90) 2013-2016 BASEBALL BOWMAN TOPPS CHROME STERLING ROOKIE AUTO LOT - ALL AUTO","$46.00","Jan-29 20:00"
"183","2016 Bowman Draft Paper/Chrome/Dividends Lot UVa Virginia Angels Matt Thaiss","$1.99","Jan-29 19:59"
"184","2016 Bowman Draft Paper/Chrome Team Set Lot Cincinnati Reds","$2.99","Jan-29 19:59"
"185","2016 Bowman Draft Paper/Chrome Team Set Lot w/ Corey Ray Milwaukee Brewers","$3.99","Jan-29 19:59"
"186","2016 Bowman Draft Paper/Chrome/Dividends Lot San Diego Padres Cal Quantrill","$1.39","Jan-29 19:59"
"187","2016 Bowman Draft Paper/Chrome 3Card Lot Louisville Chicago White Sox Zack Burdi","$1.69","Jan-29 19:59"
"188","2016 Bowman Draft Paper/Chrome 3 Card Lot Texas Rangers Cole Ragans","$1.19","Jan-29 19:59"
"189","2016 Bowman Draft Paper/Chrome 3 Card Lot Toronto Blue Jays Reese McGuire","$1.19","Jan-29 19:59"
"190","2016 Bowman Draft Paper/Chrome Team Set Lot Toronto Blue Jays","$3.99","Jan-29 19:59"
"191","2016 Bowman Chrome YADIER ALVAREZ Prospect on card Auto Refractor /499 Dodgers","$39.99","Jan-29 19:56"
"192","2016 Victor Robles BOWMAN CHROME Purple Refractor AUTO #100/250 Autograph","$124.99","Jan-29 19:55"
"193","Franklin Barreto Lot (56) 2016 Bowman Draft Chrome Refractor Base Inserts++ A's","$0.99","Jan-29 19:53"
"194","2016 Bowman Chrome Lucas Giolito Gold Top 100 Auto-35/50","$20.00","Jan-29 19:53"
"195","2016 Bowman Chrome Draft Cody Sedlock Autograph # CDA-CS","$2.99","Jan-29 19:52"
"196","2016 Bowman Chrome Prospect Rookie Alex Reyes #108 - Cardinals","$0.93","Jan-29 19:48"
"197","Christian Arroyo Lot (60) 2016 Bowman Draft Chrome Refractor Base Inserts Giants","$0.99","Jan-29 19:47"
"198","2016 Bowman Chrome Refractor Anfernee Grier Autograph # CDA-AG 022/499","$4.55","Jan-29 19:46"
"199","Lot of 25 2016 Bowman Chrome Draft Kyle Lewis Rookies- All Chrome!","$53.00","Jan-29 19:45"
"200","Tyler Wade Lot (49) 2016 Bowman Draft Chrome Purple Refractor Black Base Yankees","$1.57","Jan-29 19:43"
"201","2010-2016 Bowman Chrome Auto Lot! Giolito, Kipnis, Etc!","$23.53","Jan-29 15:27"
"202","Lot of 2 2016 Bowman Chrome Gleyber Torres BGS 8.5 Rookie Cards!","$8.99","Jan-29 15:25"
"203","2016 BOWMAN CHROME DRAFT PROSPECTS REFRACTOR AMED ROSARIO #BDC-190 METS","$1.85","Jan-29 15:09"
"204","2016 BOWMAN CHROME PURPLE AUTO HARRISON BADER BGS 8.5 W/ 10 AUTO","$49.95","Jan-29 15:07"
"205","2016 Bowman Chrome Draft IAN ANDERSON RC Rookie Autograph Auto BRAVES","$13.50","Jan-29 15:04"
"206","2016 Bowman Chrome * Oneal Cruz * Autograph Refractor * # 295/499 * Dodgers SSP","$0.99","Jan-29 15:00"
"207","(14) Will Craig 2016 Bowman Chrome Draft RC Auto Lot - Pirates","$111.38","Jan-29 14:57"
"208","(325) 2016 Bowman CHROME Draft REFRACTOR ++++ Insert Non Auto Lot","$47.01","Jan-29 14:56"
"209","2016 Bowman Draft Chrome Mickey Moniak REFRACTOR RC","$2.50","Jan-29 14:53"
"210","2016 Bowman Chrome Draft Prospect Ref Rookie Delvin Perez #31 - Cardinals","$4.00","Jan-29 14:53"
"211","2016 (Mets) Bowman Chrome Out of the Gate Gold Refractors #OOG5 Michael Conforto","$6.80","Jan-29 14:51"
"212","2016 Bowman Chrome RC Auto Riley Pint","$14.99","Jan-29 14:51"
"213","JORGE MATEO - 2016 BOWMAN CHROME NATIONAL CONVENTION #BNR39 GOLD REFRACTOR #/50","$16.99","Jan-29 14:43"
"214","BRAXTON GARRETT - 2016 BOWMAN CHROME DRAFT AUTO AUTOGRAPH RC - MARLINS","$12.00","Jan-29 14:43"
"215","2016 Bowman Draft Delvin Perez Chrome Refractor Auto 253/499","$69.00","Jan-29 14:41"
"216","BUDDY REED #BDC15 - 2016 BOWMAN CHROME DRAFT SKY BLUE REFRACTOR - PADRES","$2.00","Jan-29 14:40"
"217","DANIEL JOHNSON - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC94 - NATIONALS","$0.99","Jan-29 14:40"
"218","AMED ROSARIO - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC190 - METS","$0.99","Jan-29 14:40"
"219","ANDREW SOPKO - 2016 BOWMAN CHROME DRAFT REFRACTOR #BDC194 - DODGERS","$0.99","Jan-29 14:40"
"220","2016 Bowman Chrome Corey Black Auto Refractor Card #2/499 MLB Cubs","$3.00","Jan-29 14:35"
"221","2016 Bowman Chrome Taylor Trammell Auto RC","$12.50","Jan-29 14:34"
"222","2016 Bowman Chrome ORANGE Refractor Chris Okey Auto RC #D/25","$42.25","Jan-29 14:34"
"223","Juan Soto 2016 Bowman Chrome Refractor RC AUTO #277/499     NATIONALS  GRADEABLE","$82.82","Jan-29 14:34"
"224","2016 Bowman Chrome Blue Wave Ref Dane Dunning Auto RC #D/150","$13.59","Jan-29 14:33"
"225","(55) Corey Ray 2016 Bowman Chrome Draft Refractor + Insert Lot Milwaukee Brewers","$15.74","Jan-29 14:28"
"226","Brendan Rodgers 2016 Bowman Chrome / Bowman RC LOT (10)","$1.09","Jan-29 14:20"
"227","VICTOR ROBLES Lot of (7) 2016 1st Year Bowman & Chrome","$7.50","Jan-29 14:20"
